from,to,why
/category/dear-como/,/faq/,WordPress category archive duplicating the Dear CoMo index
/tag/active-listening/,/faq/#tag=active-listening,WordPress tag archive; lands in the filtered index
/tag/behavioural-patterns/,/faq/#tag=behavioural-patterns,WordPress tag archive; lands in the filtered index
/tag/cognitive-bias/,/faq/#tag=cognitive-bias,WordPress tag archive; lands in the filtered index
/tag/collaboration-styles/,/faq/#tag=collaboration-styles,WordPress tag archive; lands in the filtered index
/tag/collaborative-modelling/,/faq/#tag=collaborative-modelling,WordPress tag archive; lands in the filtered index
/tag/conflict-management/,/faq/#tag=conflict-management,WordPress tag archive; lands in the filtered index
/tag/crucial-conversations/,/faq/#tag=crucial-conversations,WordPress tag archive; lands in the filtered index
/tag/deep-democracy/,/faq/#tag=deep-democracy,WordPress tag archive; lands in the filtered index
/tag/facilitation/,/faq/#tag=facilitation,WordPress tag archive; lands in the filtered index
/tag/group-dynamics/,/faq/#tag=group-dynamics,WordPress tag archive; lands in the filtered index
/tag/handling-resistance/,/faq/#tag=handling-resistance,WordPress tag archive; lands in the filtered index
/tag/power-dynamics/,/faq/#tag=power-dynamics,WordPress tag archive; lands in the filtered index
/tag/preperation/,/faq/#tag=preperation,WordPress tag archive; lands in the filtered index
/tag/psychological-safety/,/faq/#tag=psychological-safety,WordPress tag archive; lands in the filtered index
/tag/role-switching/,/faq/#tag=role-switching,WordPress tag archive; lands in the filtered index
/tag/software-architecture/,/faq/#tag=software-architecture,WordPress tag archive; lands in the filtered index
/tag/team-dynamics/,/faq/#tag=team-dynamics,WordPress tag archive; lands in the filtered index
/tag/ubiquitous-language/,/faq/#tag=ubiquitous-language,WordPress tag archive; lands in the filtered index
/author/kenny/,/#authors,WordPress author archive with a single author
